"SN","Response","RT","Pair"
"14",2,1261.70000000894,9
"14",-2,1299.30000000298,17
"14",-1,1264.20000000596,20
"14",-1,1334.40000000894,19
"14",2,1521.20000000894,21
"14",1,1068.40000000894,11
"14",-1,1041.70000000596,8
"14",-2,1176.40000000596,9
"14",1,954.500000008935,18
"14",1,979.900000008944,2
"14",-1,2181.30000000894,4
"14",1,1142.5,13
"14",-1,1009.2,5
"14",-1,1153.20000000596,6
"14",-1,2987.49999999702,3
"14",1,1244,16
"14",-1,1826.60000000596,15
"14",1,1114.20000000895,10
"14",-1,854.200000008947,12
"14",1,1708.29999999702,17
"14",-1,1104.10000000001,7
"14",1,980.400000002977,1
"14",-1,1285.60000000894,14
"15",1,17951.799999994,18
"15",1,4009.59999999404,11
"15",1,2465.19999999404,16
"15",2,1679.69999999404,3
"15",-1,2965.39999999106,12
"15",-1,3879.19999998808,14
"15",-2,11629.099999994,8
"15",1,1468.19999998808,15
"15",-2,3065.49999999404,9
"15",2,1623.69999999106,4
"15",-1,2727.19999999106,6
"15",1,1586.29999998808,1
"15",1,3698.39999999404,7
"15",1,1703.29999998808,13
"15",2,1275.89999999703,5
"15",2,1264.99999999403,10
"15",1,2462.79999999105,17
"15",-1,2997.19999998808,2
"15",2,1085.99999998808,20
"15",1,1923,21
"15",2,2741.7,19
"15",1,1256.19999998808,6
"15",-2,1270.59999999404,3
"15",-2,1571.99999999403,16
"15",1,1677.59999999702,9
"15",1,1538.39999999703,10
"15",-2,2446.09999999702,15
"15",2,2396.89999999106,17
"15",-1,3188.89999999703,13
"15",-1,2109.49999999403,11
"15",1,9337.5,14
"15",-2,2020.39999999404,18
"15",-2,2339.49999999107,8
"15",-1,2990.19999999106,1
"15",-2,1567.59999999404,4
"15",1,10144.599999997,2
"15",-2,1731.29999999405,5
"15",-1,1782.49999999107,12
"15",-1,1663.89999999999,7
"16",1,9720.39999999702,11
"16",1,2507.59999999106,7
"16",1,3735.40000000298,18
"16",-2,1306.49999999404,9
"16",1,1214.4,12
"16",2,3142.49999999404,15
"16",1,1232.90000000298,8
"16",1,1080.59999999404,2
"16",2,1189.50000000298,10
"16",1,1686.5,13
"16",-2,1715.19999999106,14
"16",2,1127.2,4
"16",1,1658.49999999107,3
"16",1,1888.29999999404,17
"16",-1,1893.60000000297,5
"16",-1,2426.80000000299,16
"16",1,2337.29999999702,1
"16",1,1700.09999999106,6
"16",2,1128.59999999702,20
"16",1,1796.29999999404,21
"16",-1,5620.8,19
"16",1,6004.39999999404,13
"16",-2,1451.99999999403,18
"16",-2,3034.39999999106,15
"16",-2,1688.99999999702,4
"16",1,1181.89999999999,17
"16",-1,1639.7,11
"16",1,2614.10000000297,3
"16",-1,1957.69999999701,5
"16",-1,3359.89999999106,6
"16",-1,2257.79999999702,16
"16",-2,1328.10000000001,2
"16",1,1147.39999999999,1
