SN,Matching,Label,Response,Correct,RT
5,Nonmatch,Stranger,Nonmatch,1,854.3999999999942
5,Nonmatch,Self,Nonmatch,1,545.000000004482
5,Match,Stranger,Match,1,781.7000000059488
5,Match,Self,Match,1,554.4000000044471
5,Match,Self,Match,1,730.2000000059488
5,Nonmatch,Self,Nonmatch,1,594.7000000044936
5,Match,Self,Match,1,620.4000000044471
5,Match,Self,Match,1,516.4999999999418
5,Match,Self,Match,1,562.7000000014668
5,Match,Self,Match,1,599.1000000044587
5,Nonmatch,Stranger,Nonmatch,1,696.4000000059605
5,Nonmatch,Self,Nonmatch,1,572.0000000059372
5,Match,Self,Match,1,504.4000000000233
5,Match,Stranger,Match,1,752.5
5,Nonmatch,Stranger,Nonmatch,1,828.6000000059721
5,Match,Self,Match,1,576.2000000059488
5,Nonmatch,Self,Nonmatch,1,616.8000000000466
5,Nonmatch,Self,Nonmatch,1,580.7999999999884
5,Match,Self,Match,1,591.2000000014668
5,Match,Stranger,Match,1,662.6000000044587
5,Match,Self,Match,1,609.7000000044936
5,Nonmatch,Stranger,Nonmatch,1,547.300000002957
5,Match,Stranger,Match,1,690.1000000030035
5,Nonmatch,Self,Nonmatch,1,601.9000000044471
5,Match,Stranger,Match,1,741.5000000029686
5,Nonmatch,Stranger,Nonmatch,1,601.5
5,Nonmatch,Self,Nonmatch,1,678.000000004482
5,Match,Stranger,Match,1,677.8000000059837
5,Nonmatch,Self,Nonmatch,1,631.0000000059372
5,Match,Stranger,Match,1,640.500000004482
5,Nonmatch,Stranger,Nonmatch,1,681.4000000059605
5,Nonmatch,Stranger,Nonmatch,1,965.0000000059372
5,Match,Stranger,Match,1,1001.7000000044936
5,Nonmatch,Self,Nonmatch,1,645.7000000014668
5,Match,Self,Match,1,521.2000000059488
5,Match,Stranger,Match,1,598.7000000044936
5,Nonmatch,Stranger,Nonmatch,1,623.500000004482
5,Nonmatch,Self,Nonmatch,1,731.2000000059488
5,Match,Stranger,Match,1,700.8000000059837
5,Nonmatch,Stranger,Nonmatch,1,586.4000000014785
5,Nonmatch,Stranger,Nonmatch,1,586.8000000059837
5,Nonmatch,Stranger,Nonmatch,1,512.8000000015018
5,Match,Stranger,Match,1,512.2000000044936
5,Nonmatch,Self,Nonmatch,1,610.6000000044587
5,Match,Stranger,Match,1,662.7999999999884
5,Match,Stranger,Match,1,589.6000000014901
5,Match,Self,Match,1,567.9000000044471
5,Match,Stranger,Match,1,514.2000000044936
5,Nonmatch,Self,Nonmatch,1,556.1000000014901
5,Nonmatch,Self,Nonmatch,1,630.2000000059488
5,Nonmatch,Stranger,Nonmatch,1,592.6000000030035
5,Nonmatch,Stranger,Nonmatch,1,504.5999999999767
5,Match,Self,Match,1,535.4000000014785
5,Nonmatch,Self,Nonmatch,1,659.4000000044471
5,Nonmatch,Self,Nonmatch,1,659.7000000000116
5,Nonmatch,Self,Nonmatch,1,642.6000000030035
5,Match,Self,Match,1,441.2000000000117
5,Nonmatch,Self,Nonmatch,1,554.7000000059488
7,Nonmatch,Stranger,Nonmatch,1,990.7000000000008
7,Match,Self,Match,1,736.8999999999978
7,Match,Stranger,Match,1,1387.999999994041
7,Nonmatch,Stranger,Nonmatch,1,888.09999999106
7,Match,Stranger,Match,1,924.3999999910592
7,Nonmatch,Stranger,Nonmatch,1,640.9000000000015
7,Match,Self,Match,1,681.1999999910622
7,Match,Self,Match,1,486.8000000000029
7,Nonmatch,Stranger,Nonmatch,1,750.7999999970198
7,Nonmatch,Self,Nonmatch,1,755.1999999999971
7,Nonmatch,Self,Nonmatch,1,807.5999999880805
7,Nonmatch,Self,Nonmatch,1,612
7,Match,Stranger,Match,1,658.0999999910564
7,Nonmatch,Self,Nonmatch,1,627.5999999880805
7,Match,Self,Match,1,628.3999999910593
7,Match,Stranger,Nonmatch,0,700.9999999970169
7,Match,Stranger,Match,1,746.999999988082
7,Nonmatch,Self,Nonmatch,1,727.2999999970198
