Loc1,Loc2,Loc3,Label,ISI,angle1,angle2,angle3,probeAngle,subject
3,4,2,3,1.6,150.4824904,117.7344067,29.74817636,136.7118473,1
4,2,1,2,1.6,156.5086013,45.77487158,123.9706041,32.95550919,1
4,1,2,2,1.6,152.5260619,46.25705514,67.89699616,55.91868346,1
2,1,4,1,1.6,49.94680631,124.704741,25.02243547,131.4193597,1
4,3,2,3,1.6,53.75301721,140.5420225,23.51014236,37.20536998,1
4,2,3,3,1.6,35.25430271,139.9229962,61.44809453,51.07679977,1
3,1,4,3,1.6,63.1317669,130.601882,25.82604904,48.22974473,1
3,2,4,2,1.6,48.15165894,118.9333128,152.3236226,128.4206389,1
1,3,4,3,1.6,121.7705196,55.27351419,19.27655979,41.5193743,1
3,2,1,1,2.6,118.5155353,31.84317802,140.8691864,130.0642294,1
3,2,1,2,2.6,34.38644293,69.05508805,158.7923605,51.02161619,1
2,3,1,2,2.6,150.3458298,23.28491107,62.69152081,137.3607068,1
3,2,1,3,2.6,122.4377608,51.50680869,20.3748802,131.2480543,1
3,1,2,3,2.6,155.3507969,118.1538217,71.23680633,151.8241179,1
3,1,2,2,2.6,41.54350244,126.4485512,155.2384929,134.8590777,1
1,3,2,1,2.6,19.38172233,143.7135296,116.5805428,14.50368441,1
1,2,3,1,2.6,23.04780409,135.9699895,115.2279767,25.25525524,1
2,3,1,3,2.6,132.8072853,157.6176408,112.1246199,169.4117354,1
1,3,2,3,2.6,163.3540728,110.2929816,135.0608716,118.281543,1
2,1,3,2,2.6,139.0092536,33.34686626,108.8889962,135.0119689,1
2,3,1,1,2.6,148.3592523,66.65737062,30.59227292,22.68930145,1
3,1,2,1,2.6,114.3783455,145.5519095,57.79769837,144.8635262,1
2,1,3,1,2.6,16.76950173,124.3698472,61.27372285,129.3768997,1
1,2,3,2,2.6,73.16632758,124.9118425,149.3064805,125.3058565,1
1,3,2,2,2.6,160.247694,65.48684314,28.20734633,43.73889894,1
2,1,3,3,2.6,54.3154997,29.50255367,124.8576005,130.324174,1
1,2,3,3,2.6,38.76713331,164.8050274,111.4017915,125.5146852,1
1,3,4,1,1.6,71.44366166,138.9967373,110.6032752,55.56835544,1
3,2,4,3,1.6,132.9331627,58.15735309,153.4964123,125.3013503,1
3,4,1,3,1.6,106.8390551,54.29357102,148.6681396,114.0173619,1
1,2,4,2,1.6,67.70070684,113.5208872,156.8257609,114.7436669,1
2,1,4,2,1.6,125.802148,158.8685519,29.53269329,120.6573552,1
4,3,1,3,1.6,69.97904917,122.0439344,35.89089247,128.4019201,1
3,4,2,2,1.6,135.3031249,163.7533521,109.532699,109.8580692,1
2,4,3,3,1.6,121.9606364,74.08806337,17.09690333,35.03947941,1
3,1,4,1,1.6,156.4798428,44.5764175,22.965549,42.38243441,1
2,3,4,3,1.6,162.8112112,106.1993155,68.97836543,118.8380225,1
2,4,1,1,1.6,52.07648831,160.8959103,29.35880549,53.8975113,1
4,3,2,2,1.6,49.10850811,136.8016835,163.7296234,165.6974601,1
4,1,2,1,1.6,112.320457,17.89165866,144.7834109,17.82327624,1
4,2,1,1,1.6,32.55771715,136.6168324,156.9808348,175.9041884,1
1,4,2,2,1.6,163.1044451,113.0278508,25.24290649,20.24019101,1
4,1,3,3,1.6,19.89033199,69.99176594,144.9365789,169.5346686,1
4,2,3,2,1.6,122.6934228,148.8275865,63.31895925,159.8134956,1
1,4,3,1,1.6,138.4484373,105.497654,72.55428532,150.5490583,1
2,1,3,2,2.6,64.04528165,34.77499964,114.9235706,44.58689098,1
1,3,2,1,2.6,63.16709654,39.63240484,148.1097925,43.60087631,1
3,2,1,1,2.6,121.3514296,151.7085425,46.77298002,55.51143756,1
2,3,1,3,2.6,43.7426378,152.048988,110.2653287,148.0403663,1
3,1,2,2,2.6,45.10147148,22.23803581,120.2659428,120.5434144,1
3,1,2,1,2.6,54.39417622,119.2148175,23.81802567,136.9506927,1
2,3,1,1,2.6,113.5023001,70.77299426,23.40603515,19.28080364,1
3,2,1,3,2.6,73.35120097,47.0474446,109.65785,58.28165227,1
1,2,3,2,2.6,116.9334561,159.1854393,56.66960016,160.4770908,1
1,3,2,3,2.6,47.86961747,20.41529865,118.3247391,16.74703362,1
1,3,2,2,2.6,155.8634197,133.6524332,46.80548356,40.28976817,1
3,1,2,3,2.6,42.77007226,65.46112771,123.8559322,25.4533188,1
1,2,3,3,2.6,46.04193877,70.49624501,21.75909391,17.86087595,1
2,1,3,1,2.6,139.777928,163.4188889,109.5988917,155.3522891,1
1,2,3,1,2.6,42.91699292,68.70598805,163.2821341,32.94909735,1
2,3,1,2,2.6,43.65823039,159.5054267,130.3415077,27.80902602,1
2,1,3,3,2.6,112.7655964,43.9096064,140.9014049,142.8571898,1
3,2,1,2,2.6,154.2441595,69.13512361,19.33716275,44.30101078,1
3,1,4,1,1.6,70.96116474,34.82748621,144.3280101,52.59165544,1
1,3,4,1,1.6,146.7339275,20.60745455,110.3939956,148.287357,1
4,3,1,3,1.6,59.08436791,117.1726812,24.41196261,128.4902716,1
4,1,2,1,1.6,111.4550347,67.27693621,40.96176756,57.67337061,1
2,3,4,3,1.6,48.01324493,21.95838506,120.2230672,20.54101223,1
4,2,1,1,1.6,161.8124258,139.4728399,43.62631545,43.60142737,1
2,4,1,1,1.6,129.1638307,62.11367348,30.48029908,32.35691097,1
4,3,2,2,1.6,137.0590054,160.9337074,44.59090563,39.13566879,1
1,4,2,2,1.6,38.40021792,137.6607687,71.30583905,71.83794718,1
1,4,3,1,1.6,41.84945625,21.06311144,133.5283387,19.40935255,1
4,2,3,2,1.6,115.4517549,141.7828478,67.02474337,163.6792801,1
4,1,3,3,1.6,107.3059605,161.2489496,33.44987868,46.62725996,1
1,2,4,2,1.6,156.6010363,127.8000319,54.9961429,133.8842578,1
2,4,3,3,1.6,142.6368392,39.37980329,72.90771936,53.83389288,1
3,4,2,2,1.6,56.34367981,150.6533383,30.84808319,56.77459064,1
3,2,4,3,1.6,139.313007,56.28977608,19.36664303,140.1371216,1
2,1,4,2,1.6,51.15111549,164.5899605,118.8263417,53.61324138,1
3,4,1,3,1.6,41.06278084,17.80302159,144.2931658,33.19877612,1
3,1,2,1,2.6,157.3747683,43.47439497,21.160691,33.61505994,1
3,2,1,2,2.6,141.7858334,55.75577235,21.33286334,40.75392888,1
1,3,2,1,2.6,134.7626385,37.1613565,113.3155473,132.3091725,1
3,1,2,2,2.6,39.6496185,160.2159295,119.7357346,116.6999789,1
