Lshape,Rshape,Label,unknown,t1X,t1Y,t2X,t2Y,angle1,angle2,probeAngle,RT,subject
1,2,1,1,614.1454044,391.7900936,755.087616,400.002882,72.82439925,161.7918575,55.45707141,2.643241145,1
2,3,2,2,622.4066584,385.948051,738.3455007,386.2296204,34.5651029,63.45516667,47.62279623,2.760427619,1
1,3,3,2,611.0696339,395.2043769,747.0600578,376.476008,70.82214502,50.42748364,61.12680149,3.763820061,1
1,3,1,1,622.6011858,357.1159245,747.0576353,374.8588992,71.04734555,164.7156629,62.08618994,1.706714424,1
3,1,3,1,625.5430296,406.6029444,746.7480352,378.2974307,48.64867622,132.5897522,47.38228775,2.961084237,1
1,3,3,1,610.4004729,410.110323,755.7601804,374.6712297,71.42247306,158.970384,167.8252874,4.315799346,1
3,1,1,2,609.1813386,412.4227128,757.549512,385.322137,150.0301072,128.521767,147.2856205,5.001515734,1
2,3,2,2,609.9965706,398.6762259,746.1738709,403.0582775,105.84469,133.4645021,134.9992606,3.61342545,1
3,1,3,2,619.0139882,395.7100304,759.2402217,389.219085,57.33436417,29.27735023,48.30794423,2.60988508,1
3,1,1,2,605.0130594,390.9162888,757.6359648,412.4271617,158.2225028,119.1095735,124.1536014,2.475996154,1
2,3,3,1,617.4523573,388.7556895,758.5213122,404.1751565,144.242569,59.68571028,45.97280584,4.097263928,1
2,1,1,2,621.6604054,391.6797078,738.0870703,393.6738398,105.4776664,125.7389044,133.7950371,1.924182493,1
3,1,3,2,624.2257271,408.9138446,750.5361622,389.0651508,160.3353809,121.7511231,166.7396588,2.593191829,1
1,3,1,2,618.8072835,357.8234879,751.7470846,391.0386649,21.7547228,45.00231608,22.44822925,2.542979722,1
1,3,3,1,610.1373543,366.7771139,739.6628728,358.4311874,34.65187129,117.1135462,146.3039583,2.64326344,1
2,1,2,2,626.8481851,367.8822974,742.7573583,388.2038355,50.73603406,22.49618163,24.8062365,3.73039534,1
3,2,2,1,607.0517802,364.0963439,738.6427357,365.4882451,37.0755928,136.0342552,149.2191729,3.245397147,1
3,2,3,2,617.8344355,378.7196013,740.4400615,363.6340813,131.1591027,108.3143836,143.017791,3.579846784,1
3,2,3,1,613.323407,392.9473092,747.6767047,357.4380063,54.23509163,140.1457683,48.04413225,2.977774302,1
2,3,2,1,616.1506662,366.0951294,737.3559871,393.7800595,153.7379909,66.78040698,152.2165799,3.412642845,1
1,2,1,2,618.4995525,412.9710223,753.6729355,372.4074127,161.7275048,122.6540705,163.4904508,3.211946945,1
1,3,3,1,607.5055385,376.4991901,740.4529238,359.2321673,137.5122741,41.14819335,90.43771347,0.552698754,1
1,3,1,2,621.8847794,407.991551,747.711705,361.9286598,60.45281544,28.04053072,68.51092147,3.211945176,1
2,3,3,1,609.6048524,373.0964084,750.9302838,363.6450072,132.528142,41.2909135,47.45203067,4.934617455,1
1,2,2,1,605.33208,367.2095169,758.4297838,361.3221195,161.0895016,72.25506044,50.14733799,3.028020029,1
3,1,1,1,613.3023208,359.5365776,743.4336704,372.9999064,18.30049085,118.2082854,105.7270253,4.53314709,1
