Lshape,Rshape,Label,t1X,t1Y,t2X,t2Y,angle1,angle2,probeAngle,subject
2,1,1,685.0572729,446.2831027,829.261431,422.2360093,40.27867285,115.2209787,120.4123365,1
2,3,3,680.6061948,451.235754,853.4959597,447.734239,69.09634819,112.9223704,124.2622563,1
3,2,3,696.1138561,417.6044644,842.8414477,415.9122534,68.99513735,111.1102618,61.83277541,1
1,3,1,707.6109188,434.2825082,828.8397746,405.5729421,40.98830868,144.8009251,36.04182881,1
1,3,3,705.1721372,408.8236155,845.5262535,413.939302,123.0909505,159.3647012,147.6428215,1
3,1,1,706.3105083,426.2802618,837.9247605,462.9983627,19.24949854,110.9598273,131.7115838,1
2,1,1,698.5466921,418.9124641,834.836628,443.5314158,121.7960421,60.60586759,48.95693661,1
2,3,2,701.0145616,435.314721,844.3389289,437.3485196,74.08683241,108.4748792,61.4363984,1
2,3,3,707.1952468,456.7388072,837.7005653,429.1004714,129.5226243,63.81617489,58.66854578,1
3,2,2,701.920418,400.6273441,847.4260532,453.9656536,39.1917723,130.6987977,143.24664,1
1,2,1,699.7215095,414.3537325,848.4263653,417.2195028,138.7717597,68.07350467,127.8606233,1
2,1,2,684.9594651,449.0829867,851.2300148,459.8066095,112.2689543,42.56008788,116.5577781,1
1,2,1,682.7745102,435.66689,829.236636,449.4396843,32.80095101,161.2604833,27.03880115,1
3,1,1,697.6098703,425.0147042,830.8429489,403.4954634,32.21684628,163.1455782,169.2256583,1
1,2,2,690.9201376,458.7196053,853.9659743,445.6687367,146.0884646,24.75838706,25.96674767,1
3,1,3,700.4563901,453.3217271,846.1013681,425.4900626,61.79182024,22.45932732,44.59644419,1
1,2,2,695.4633253,435.1557461,855.4156157,421.147111,150.3396919,58.04287153,50.7894311,1
3,1,3,691.589221,444.4635669,841.7856629,462.2549686,64.91458278,136.1717178,44.15509921,1
1,3,1,698.5543074,414.7445163,835.8820437,445.5122273,150.804573,64.23641751,150.0914583,1
3,2,3,692.6375362,445.7628809,834.7453399,454.7956667,106.3095575,62.78126553,127.2301539,1
1,3,3,703.4282379,437.6454007,831.880848,423.4340352,131.5891494,24.79732065,37.73519089,1
2,1,1,692.5844196,402.7070591,854.978848,462.2693334,157.8687702,63.56552633,49.38413686,1
3,2,2,697.367796,401.2324786,850.7122248,405.3679045,120.081654,64.98396886,65.89603334,1
2,3,2,691.297752,417.1800846,831.4165745,416.5021549,117.2429158,41.62280691,118.6333048,1
