loc1,loc2,suffix,Label,angle1,angle2,angle3,probeAngle,subject
3,1,4,1,49.89537431,121.9109733,17.1175071,108.2132029,1
2,3,4,3,39.34038791,17.94563489,67.79468572,17.24194869,1
2,3,5,2,19.17830701,67.58514867,162.9139616,25.27796586,1
2,1,4,2,21.57798518,139.3992308,161.7395116,17.37214482,1
1,3,5,3,116.5271586,64.81615319,154.4959466,46.77661494,1
1,2,5,1,135.1821826,24.06645963,107.1773195,111.7143772,1
3,2,5,3,61.70677681,108.8357712,143.1396072,66.62694553,1
2,3,4,3,21.99304133,61.13375191,112.514071,51.52267396,1
1,3,5,1,40.0520742,133.2407431,66.11879738,39.20865657,1
1,2,4,1,45.54743626,126.5699834,147.8121137,35.70404786,1
3,1,4,3,117.814728,51.68627259,28.75734477,128.504893,1
2,3,5,3,72.25255661,145.8551752,33.93716277,136.6596922,1
3,1,5,3,109.7997325,155.1105351,55.4244506,105.9913376,1
2,1,5,1,71.04648912,106.5989792,16.79594544,108.8080814,1
1,3,4,3,52.7852075,150.5633259,124.5994024,142.2966276,1
3,1,4,1,155.980259,129.4890316,29.86865243,113.6848859,1
3,2,4,3,121.0980643,47.62260252,72.16437398,127.8820672,1
2,3,4,2,50.11005907,155.0123563,105.8165621,41.22312759,1
3,2,5,2,49.37719283,117.0525532,19.84666265,92.6738387,1
1,3,5,3,64.49332071,143.3676467,107.4488718,134.6714805,1
1,3,5,1,54.65753985,131.5696264,22.44151915,52.88958263,1
2,1,5,2,136.2760793,107.67412,22.52732222,130.484206,1
1,2,4,1,35.16321807,113.1908879,159.1997449,36.06429346,1
2,3,4,2,59.522227,151.9317049,28.81774679,51.98308197,1
1,2,4,2,38.32444319,117.6496813,74.78058924,120.2055892,1
1,2,5,2,129.4720493,38.96940583,154.0870924,37.64954667,1
3,1,4,1,143.3731936,28.70593299,58.91290891,29.7601165,1
2,1,4,2,54.90720456,110.8111858,142.8728256,49.88472849,1
3,2,5,2,145.9525265,17.53137467,114.0504651,24.33540792,1
2,3,5,3,113.4958075,155.7045509,39.98854879,156.8730774,1
3,2,4,3,27.61929758,159.8933055,71.08806577,15.69898432,1
2,1,5,1,144.6515283,119.6955001,44.85656419,115.5268671,1
1,3,4,1,135.9162805,161.5389012,15.25843547,136.9304754,1
2,1,4,1,115.1750958,69.92310624,22.15718685,47.67640643,1
3,2,4,2,58.38183086,34.08471421,164.927272,34.21791613,1
3,1,5,1,27.95871715,117.1456074,63.17935361,103.4036413,1
2,3,4,3,115.4379952,47.96962749,155.0316484,37.31749608,1
1,3,4,3,133.714926,161.758866,18.16859325,150.1312147,1
3,2,5,3,111.8447014,34.12207032,68.51121185,122.699972,1
1,2,5,2,107.4961669,154.0018449,18.23694125,157.3082672,1
2,3,5,2,42.42478867,134.8355452,161.0977827,30.93329634,1
2,1,4,2,59.32203306,120.982131,162.4078104,46.67608342,1
1,2,5,1,157.3212213,69.94275436,105.9595887,157.7181556,1
3,1,5,3,116.3690721,52.1532664,141.9258747,118.3053725,1
2,3,4,2,33.53843114,121.7865286,64.31416827,26.09976375,2
2,1,4,1,31.85367965,54.1716182,129.5466612,49.66398555,2
1,2,5,2,117.9230687,23.69209596,68.51817345,25.15709833,2
1,3,4,3,138.8940793,42.84274455,112.6092467,40.79142305,2
3,1,5,3,141.5808443,29.30959554,112.8460096,158.0305499,2
3,1,5,1,109.3150689,74.71258127,43.66909983,63.27152073,2
3,2,5,2,157.5679936,53.90601215,106.9183258,51.95541131,2
2,1,4,2,38.47458499,69.80167603,142.2926588,29.11376247,2
1,3,4,3,41.9625266,66.13060912,106.3564459,55.98520806,2
3,2,4,2,59.20632451,137.0985614,27.26635478,145.3118408,2
3,2,5,3,64.38381463,159.3996194,18.83103593,50.66200776,2
2,1,5,1,63.19246933,152.1107911,117.2913921,157.3683479,2
1,3,4,1,114.3739565,138.79694,46.53836704,121.9976383,2
2,3,4,3,73.12318139,117.0984296,140.9241864,126.1226641,2
2,3,5,2,154.3096099,70.59839588,46.54373556,158.4051155,2
1,3,5,1,111.6240736,37.79409358,148.8627617,126.26677,2
3,2,5,3,134.9144444,70.36755425,112.191481,139.2416942,2
1,2,4,1,144.2321217,107.7620074,38.65796639,153.3220961,2
